cat/dog,health issue,cooking time,name,save,ingredient,cook
강아지,신장관련,조리시간 2시간 이상,수박 젤리 - 수분 보충에 좋은,이 간식은 1주일까지 냉장보관이 가능합니다.,수박 1 kg한천가루 1 작은스푼,"수박 씨를 빼고 수박 속을 긁어내어 믹서기에 넣고 갈아주세요(수박은 크기에 비해 무거워야 합니다. 반점이 노란색인 수박은 잘 익은 것이며, 수박의 아랫부분을 두드려 맑은소리가 나는 것을 고르세요)액체가 될 때까지 갈아줍니다.커다란 냄비에 수박즙을 붓고 중불(375도)에서 끓여주세요한천가루 1티스푼을 넣어주세요끓이는 중간(대강 10-15분)중간 한 번씩 휘저어주세요속을 파낸 수박껍질 안에 수박즙을 부어주세요남은 수박즙은 머핀틀이나 큐브 트레이에 부어줍니다.2시간 정도 얼려줍니다.2-3시간 후면 수박 젤리가 완성됩니다.머핀틀과 수박껍질 안에 있는 젤리를 퍼서 조각으로 자르세요. 해가 쨍쨍한 날 당신의 강아지를 위한 시원한 간식입니다."
강아지,신장관련,조리시간 20분 이내,땅콩버터 쿠키 - 심장병을 예방하는,간식은 5일 정도 냉장보관 가능합니다.,달걀 1 number물 240 ml베이킹파우더 1/2 작은스푼땅콩버터 1 tbsp통밀가루 1 cup,"커다른 그릇에 밀가루를 부어주세요베이킹 파우더 1티스푼을 추가하세요그릇에 달걀 하나를 깨서 넣어주세요땅콩버터 1큰술을 첨가하세요재료를 골고루 섞어주세요반죽이 퍽퍽해질 때까지 손으로 반죽을 치대줍니다.너무 건조하면 물을 추가하며 반죽하세요깨끗한 표면 위에 반죽을 올려주세요반죽 위에 밀가루를 뿌려주세요반죽을 1-2cm 두께로 밀어주세요유산지를 깔고 반죽을 올린 뒤, 칼을 이용해 반죽을 네모꼴로 잘라주세요베이킹 시트에 반죽을 올리고, 오븐에서 화씨 350도로 15분 정도 구워줍니다.오븐을 끄고 간식을 꺼내줍니다. 음식을 완전히 식혀주세요."
강아지,모질개선,조리시간 2시간 이상,건조 호박 간식 - 대장 해독에 좋은,간식은 5일 정도 냉장 보관이 가능합니다. 이 레시피에는 호박 통조림이나 신선한 호박을 사용할 수 있습니다. 호박은 크기가 작을수록 맛있다는 걸 기억하세요. 녹색줄기가 튼튼한 것을 고르고 갈색 반점이 있는 호박은 고르지 마세요. 갈색의 작은 반점이 있다는 것은 벌레가 호박 속을 뚫고 들어갔다는 것을 의미합니다.,호박 100 g아마씨 1/2 cup땅콩 1 cup꿀 1 작은스푼물 2.5 cup,육수 냄비에 호박과 물을 넣고 호박이 익을 때까지 중불(화씨 350도)에서 15-20분 정도 삶아주세요믹서기에 아마씨와 땅콩을 넣고 갈아주세요그릇에 갈아진 가루를 부어주세요그릇에 호박을 넣고 포크로 으깨주세요간 아마씨-땅콩 가루와 꿀 1 스푼을 부어주세요재료가 혼합되도록 골고루 섞어주세요유산지가 깔린 베이킹 시트에 반죽을 1-2cm 크기의 두께로 펴발라주세요커터와 칼을 이용해 5cm 크기의 네모꼴로 잘라주세요오븐에 시트를 넣고 바삭해질 때까지 12시간 정도 화씨 170도에서 구워주세요불을 끄고 선대로 자른 뒤 완전히 식혀주세요
강아지,모질개선,조리시간 30분 이내,당근 치즈 볼 - 저혈압을 예방하는,간식은 5일 정도 냉장보관 가능합니다.,으깬 귀리 1.5 cup올리브 오일 1 tbsp베이킹파우더 1/2 작은스푼당근 1 number통밀가루 1 cup물 1/2 cup잘게 간 치즈 1/4 cup,"당근의 껍질을 벗기고 줄기를 제거한 후 주방칼이나 강판을 사용해 잘게 썰어주세요(당근은 표면이 매끄럽고 단단하며 밝은 오렌지 색을 띠는 것을 고르세요. 꼭대기 부분이 흐물흐물하고 검정색을 띠거나 신선하지 않은 당근은 피하세요. 끝으로 갈수록 가늘어지는 중간 크기의 당근을 고르세요)믹서기에 귀리를 넣고 가루가 되도록 갈아주세요믹싱볼에 귀리가루를 부어주세요통밀가루 1컵도 추가하세요베이킹 파우더 1/2 테이블 스푼과 치즈 1/4컵을 부어주세요잘게 썬 당근과 올리브 오일 1테이블 스푼, 물 1/2컵을 넣어주세요재료를 잘 섞어줍니다.반죽을 골프공 크기로 떼어 유산지가 깔린 쿠키 시트에 나란히 올려주세요.반죽이 다 떨어질 때까지 계속 반복하세요.오븐에 넣고 반죽이 노릇노릇하게 익을 때까지 350도에서 25분 정도 구워주세요오븐을 끄고 간식을 꺼낸 뒤 완전히 식혀주세요"
고양이,관절관련,조리시간 2시간 이상,소고기 아이스캔디 - 성장을 촉진시키는,간식은 지퍼백에 담아 6개월 정도 냉장고에 보관 가능합니다.,간 소고기 100 g완두콩 50 g물 5 cup,"육수 냄비에 물 5컵을 부어주세요소고기 100g와 완두콩 50g를 넣어주세요중불(화씨 350도)에서 끓여주세요약불(화씨 225-250도)로 줄이고 30분 동안 끓여줍니다.
표면에 뜬 기름을 제거해주세요불을 끄고 음식을 식혀주세요.완전히 조리되면 음식을 아이스 큐브 트레이에 담으세요고기와 완두콩 조각이 잘 섞이도록 저어 주세요냉장고에 트레이를 넣고 4시간 정도 얼리세요"
강아지,모질개선,조리시간 30분 이내,오트밀 닭고기 간식 - 혈압을 낮추는,간식은 3일 정도 냉장보관이 가능합니다.,닭육수 1/2 cup통밀가루 1/2 cup닭고기 75 g베이킹파우더 1/2 작은스푼귀리 1/2 cup,"닭고기를 썰어 믹서기에 넣어주세요믹서기에 닭육수 1/2컵을 부어주세요믹서기에 잘 갈아주세요커다란 그릇에 혼합물을 옮겨주세요통밀가루 1/2컵을 부어줍니다.귀리 1/2컵을 넣어주세요베이킹 파우더 1/2티스푼을 넣어주세요재료를 잘 섞어주세요반죽을 1테이블 스푼 떠서 공 모양으로 만들어주세요유산지가 깔린 베이킹 시트에 반죽을 올려줍니다. 반죽이 다 떨어질 때까지 반복하세요오븐에 시트를 넣고 노릇노릇하게 익을 때까지 25분 정도 화씨 350도에서 구워주세요오븐을 끄고 간식을 꺼내서 깨끗한 그릇에 옮겨준 뒤, 완전히 식혀주세요."
강아지,모질개선,조리시간 2시간 이상,무염 리코타치즈,쭈미는 하루에 세~네알정도만 먹고 일주일이상 급여하지 않는다. 리코타치즈에 블루베리도 섞다보니 냉장보관을 하면서까지 먹이고싶진 않고 그냥 냉장보관으로 빠르게 급여함.,락토프리 우유 540 ml식초 or 레몬즙 1 큰스푼블루베리  ,"우유를 끓이고 식초or레몬즙 1스푼(보통 1000ml에 1스푼(어른스푼)~1스푼반)몽글몽글 덩어리가 생기면 몇번 휘휘 저어준다음 불을끄고! 면보에 받쳐내 줄거에요걸러낸물을 유청이라고 하는데, 요걸 또 먹이시는분들이 계시더라구요. 저는 안먹임. (단호박)리코타치즈 덩어리에 물기를 빼는동안 치즈에 같이 넣어줄 블루베리 준비블루베리를 잘게잘게 잘라줌. 믹서기로 휘휘갈면 편하긴 하겠지만 믹서기에 묻는게 더 많아서 잘 으깨어지기때문에 껍질은 잘게잘라주고 알맹이는 으깨어줌물기를 쪽 뺀 리코타치즈 !!!! 하양덩어리가 너무너무 예뿌다아~~~~~블루베리랑 섞은 리코타치즈를 모양틀에 맞추어 잠시 굳게하고(냉장 혹은 냉동)이렇게 한입크기로 쏭쏭 썰어놓으면 끄읕!!!!!!!"
강아지,,조리시간 ,감자 소고기 요리 - 소화력을 향상시키는,음식은 3일 정도 냉장보관 가능합니다.,간 소고기 140 말린 로즈마리 1 물 250 감자 170 껍질콩 35 ,"껍질콩의 끝부분을 자르고 잘게 썰어주세요(껍질콩은 꼬투리가 얇고 곧은 것과 구부렸을 때 쉽게 부러지는 것을 고르세요. 꼬투리가 볼록하거나 건조한 것은 피하세요)감자를 1-2cm 크기의 네모꼴로 잘라주세요(감자는 표면이 단단하고 매끄러운 감자를 고르세요. 싹이 나거나 녹색 반점이나 멍든 부분이 있는 감자는 피하세요)커다란 육수 냄비에 물을 넣고 센불(화씨 400도)에서 끓여주세요끓는 물에 감자를 넣고 다시 끓여주세요중.강불(화씨 375도)로 줄이고 소고기를 넣어주세요껍질콩을 넣어주세요말린 로즈메리 1티스푼을 넣고 소고기가 노릇노릇해질 때까지 12-15분 정도 조리하세요. 고기를 작은 조각으로 잘라주면서 휘저어 주시고, 표면에 뜬 기름은 제거해주세요.불을 끄고 1인분의 양을 그릇에 옮겨 담으세요음식을 제공하기 전에 완전히 식혀줍니다"
강아지,,조리시간 ,양고기 수프 - 원기를 회복해주는,음식은 3일 정도 냉장보관 가능합니다.,간 양고기 340 껍질콩 75 물 1 말린 로즈마리 1/4 하얀 무(중간크기) 1 당근(중간크리) 1 귀리 1 올리브 오일 50 마늘가루 1/8 ,"당근을 씻어 껍질을 벗기고 깍둑썰기 해주세요(잔뿌리가 없고 껍질이 단단하고 매끈한 당근을 고르세요.)무의 껍질을 벗기고 깍둑썰기 해주세요(꼭대기 부분이 신선하고 녹색을 띠며 뿌리가 단단하며 깨끗한 무를 고르세요.)껍질콩을 잘게 썰어주세요(꼬투리가 얇고 곧은 것과 구부렸을 때 쉽게 부러지는 것을 고르세요. 꼬투리가 볼록하거나 건조한 것은 피하세요.)커다란 냄비에 오일을 두르고 센불(화씨 375도)에서 가열한 뒤 양고기를 넣어주세요양고기가 노릇노릇하게 익을 때까지 8분 정도 가끔씩 저어주세요. 물을 넣고 소고기를 잘게 찢으면서 볶아주세요마늘가루와 로즈메리를 넣고 30초 정도 조리하세요당근과 무, 껍질콩을 넣어주세요중간중간 저어가며 삶아주세요약불(화씨 175, 200도)로 줄이고 양고기과 채소가 부드러워질 때까지 10-15도 정도 끓여주세요귀리를 넣고 가끔씩 저어주면서 15분 정도 조리하세요소고기 혼합물에 남은 올리브 오일을 부어주세요그릇에 1인분의 양을 옮겨 담으세요음식을 제공하기 전에 완전히 식혀줍니다."
강아지,,조리시간 ,달걀 볶음밥 - 민감한 위에 좋은,음식은 4-5일 정도 냉장보관 가능합니다.,달걀 2 쌀밥 1 올리브 오일 1 ,그릇에 달걀을 깨서 넣고 풀어주세요코팅이 된 냄비에 올리브 오일 1티스푼을 넣고 30초 정도 중불(화씨 350도)에서 가열하세요냄비에 달걀물을 붓고 3분 정도 조리하며 스크램블드 에그로 만들어주세요밥을 넣고 3분 정도 저어주면서 볶아주세요불을 끄고 음식을 깨끗한 접시나 그릇에 옮겨 담으세요음식을 제공하기 전에 완전히 식혀줍니다
