cat/dog,health issue,cooking time,name,save,ingredient,cook
고양이,신장관련,조리시간 20분 이내,칠면조 참치볶음밥 - 신경 기능을 돕는,음식은 3일 정도 냉장보관이 가능합니다. 살모넬라균 식중독을 예방하기 위해 간 칠면조를 골고루 조리하세요. 간 칠면조 고기가 들어간 레시피를 준비한 후 손과 조리대 도마를 깨끗이 씻어 세균을 제거하세요.,간 칠면조 100 g당근 50 g쌀밥 90 g참치캔 100 g,"줄기를 제거한 당근의 껍질을 벗기고, 깍둑썰기 해주세요
(잔뿌리가 없고 껍질이 단단하고 매끈한 당근을 고르세요)프라이팬에 칠면조를 넣고 3-5분 정도 센 불(화씨 400도)에서 조리하세요중불(화씨 350도)로 줄인 뒤, 프라이팬에 당근을 넣고 5분간 더 볶아주세요참치를 넣고 으깨면서 골고루 섞어주세요쌀밥을 넣고 2-3분간 더 볶아주세요불을 끄고 음식을 깨끗한 접시나 그릇에 옮겨 담으세요음식을 제공하기 전에 완전히 식혀주세요"
고양이,장관련,조리시간 10분 이내,닭가슴살 볶음밥 - 위에 좋은,음식은 3일 정도 냉장보관이 가능합니다.,닭가슴살 200 g껍질콩 50 g쌀밥 1 cup물 1/4 cup,"껍질콩의 끝부분을 잘라내고 깍둑썰기 해주세요닭고기를 작은 조각으로 잘라 잘게 다져주세요
(껍질의 색깔이 흰색 혹은 진노란색을 띠는 닭고기를 고르세요. 포장용기를 여는 순간 닭고기가 부패하면서 나는 냄새가 나는 경우에는, 몇 분간 상온에 놓아주세요)화씨 350도로 예열된 프라이팬에 닭고기를 넣고 30초 동안 볶아주세요프라이팬에 물 1/4컵을 붓고 끓여주세요이제 껍질콩을 넣고 불을 화씨 200도로 줄인 뒤 3-5분간 더 끓여주세요밥을 넣고 2분간 골고루 섞으며 볶아주세요불을 끄고 음식을 깨끗한 접시나 그릇에 옮겨 담으세요음식을 제공하기 전에 완전히 식혀줍니다"
강아지,모질개선,조리시간 60분 이내,삶은 양고기 - 면역력에 좋은,음식은 3일 정도 냉장 보관이 가능합니다.,닭육수 1 cup올리브 오일 2 작은스푼양고기 어깨살 100 g,"양고기를 큼지막하게 썰어주세요냄비에 오일을 넣고 중불(화씨 350도)에서 가열해주세요양고기를 넣고 표면이 노릇노릇해지도록 7-10분간 조리해주세요. 3분마다 양고기를 뒤집어주세요조리된 양고기를 오븐용 용기에 옮겨 담아주세요고기를 덮을 정도 양의 닭육수를 부어주세요
(닭육수는 식료품점이나 마트에서 구매할 수 있지만 닭고기를 끓여 직접 육수를 만드셔도 좋습니다)용기의 뚜껑을 닫고 오븐에 넣어 화씨 325도 온도에서 30-45분간 구워주세요믹서기에 양고기와 육수를 넣어주세요고기가 부드럽게 갈릴 때까지 갈아주세요완성된 음식을 깨끗한 접시나 그릇에 옮겨 담아주세요아이에게 주기 전 실온에서 온도를 충분히 식혀주세요"
강아지,모질개선,조리시간 20분 이내,고구마 쿠키 - 질병예방에 좋은,"음식은 3일 정도 냉장 보관이 가능합니다. 
강아지에게 호두를 너무 대량으로 먹이지 말아주세요. 눅눅하고 오래되어 곰팡이가 핀 호두 또는 땅에서 자라거나 마켓에서 파는 신선하지 못한 호두는 강아지에게 호두 중독을 일으킬 수 있습니다. 호두 중독은 달팽이 미끼제에 함유된 메타알데하이드 중독 증상인 떨림 증상과 유사합니다.",식물성 오일 2 tbsp잘게 썬 호두 1/4 cup물 1/4컵 cup꿀 2 tbsp달걀 1 number통밀가루 1/2 cup삶은 고구마 50 g,"냄비에 물을 가득 채워준 다음 껍질을 벗긴 고구마를 3분 정도 삶아주세요. 또는, 껍질을 벗긴 고구마를 전자레인지용 접시에 넣고 전자레인지에서 5-8분 정도 데워주세요.커다란 그릇에 삶은 고구마를 넣고 으깨주세요으깬 고구마에 호두를 넣고 휘저어 주세요식물성 오일과 밀가루를 넣어주세요모든 재료를 잘 섞어주세요달걀 1개를 깨서 넣고 물도 함께 부어주세요재료들이 잘 섞이도록 골고루 휘저어 주세요농도가 너무 질척거린다면 밀가루를 더 추가해주세요평평한 곳에 유산지를 깔고 밀가루를 먼저 뿌려주세요반죽을 올려놓고 그 위에 다시 밀가루를 뿌려주세요반죽 위에 유산지를 덮고, 반죽을 1-2cm 두께로 얇게 밀어주세요유산지를 떼고 반죽을 작은 네모꼴로 썰어주세요유산지를 베이킹시트에 옮긴 뒤 화씨 350도에서 15-20분 정도 구워주세요완성된 음식은 아이에게 주기 전 완전히 식혀주세요"
고양이,관절관련,조리시간 60분 이내,닭고기 밥 - 무기질이 풍부한,완성된 요리는 밀폐 용기에 담아 냉장고에 3일 정도 보관할 수 있습니다. 고양이가 닭목을 삼킬 때 목에 걸리지 않도록 뼈를 잘 발라주세요. 닭가슴살은 통통하고 둥글며 가슴뼈 끝을 만졌을 때 연한 연골부분이 많은 어린 닭을 고르세요. 닭목은 고양이의 몸을 건강하게 해주는 칼슘을 함유하고 있으며 이 음식은 단백질 철분 나트륨과 같은 무기질이 풍부합니다.,닭가슴살 200 g닭목 100 g밥 1/4 cup완숙란 1 number올리브 오일 4 작은스푼,"완숙 달걀을 4조각으로 썰어줍니다.닭가슴살은 사진과 같이 작은 조각으로 썰어주세요큰 냄비에 물을 1/3정도 채운 뒤, 닭가슴살과 닭목을 넣고 중간 불에 삶아줍니다.달걀과 밥을 넣고 30-40분간 재료가 잘 삶아질 때까지 휘저어 주세요물기를 뺀 음식을 그릇에 옮겨 담아주세요. (완성된 요리에 파슬리를 추가하셔도 좋습니다)"
강아지,관절관련,조리시간 20분 이내,달걀 치즈롤 - 영양이 풍부한,완성된 요리는 반만 먹이고 나머지 한 쪽은 냉장고에 3일 정도 보관하실 수 있습니다.,코티지 치즈 3 tbsp달걀 2 number당근 1 number가루 우유(무지방) 1 tbsp브로콜리 1 number,"당근을 깍둑썰기해주세요.
(잔뿌리가 없고 표면이 단단하고 매끄러운 당근을 고르세요)브로콜리의 줄기 부분을 제거한 나머지 부분을 잘게 썰어줍니다.
(줄기가 단단하고 아삭하며 이파리가 녹색인 브로콜리를 고르세요. 꽃봉오리가 노란색을 띠거나 꽃이 핀 것은 피하세요)그릇에 코티지 치즈 1스푼을 넣고 으깬 다음 가루우유를 뿌려줍니다.재료가 담긴 그릇에 달걀 2개를 깨 넣어준 다음 잘 섞어주세요.
(껍데기에 손상이 없는 달걀을 고르세요. 껍질에 균열이 일어난 것은 살모넬라균이 침투할 가능성이 높은 달걀입니다. 유통기한이 지난 달걀은 구매하지 마세요)중불(화씨 300도)로 예열한 냄비에 잘 섞은 계란물을 부어주세요계란물 위에 잘게 썬 채소를 골고루 뿌려주세요달걀이 다 익을 때까지 3-5분간 조리한 다음 달걀을 돌돌 말아주세요완성된 계란말이를 먹기 좋게 반으로 잘라줍니다.
(음식을 제공하기 전 완전히 차게 식혀주세요)"
강아지,신장관련,조리시간 20분 이내,달걀 머핀 - 단백질이 풍부한,머핀은 3일 정도 냉장 보관이 가능합니다.,물 30 ml달걀 3-4 number,"중간 크기의 그릇에 달걀 3개를 깨서 넣어주세요
(껍데기에 손상이 없는 달걀을 고르세요. 껍질에 균열이 일어난 것은 살모넬라균이 침투할 가능성이 높은 달걀입니다)물 30ml를 부어주세요.달걀을 휘저어 잘 풀어줍니다.머핀 컵의 2/3 정도로 잠기도록 달걀물을 부어주세요머핀 컵을 오븐에 넣고 화씨 350도에서 노릇노릇하게 익을 때까지 15-20분 정도 구워주세요오븐을 끄고 머핀을 꺼내 깨끗한 접시나 그릇에 옮겨 담고, 완전히 식은 뒤 강아지에게 줍니다
(파슬리나 샐러리 같은 채소나 허브를 추가하셔도 좋습니다)"
고양이,모질개선,조리시간 30분 이내,칠면조 비빔밥 - 기름기가 없는,음식은 3일 정도 냉장보관 가능합니다. 신선한 칠면조는 조리하기 전에 24시간 동안 냉장보관 하셔야 합니다. 얼린 칠면조는 며칠 동안 냉장고와 냉동실에서 해동시켜야 합니다.,쌀 1/2 cup조리된 칠조 고기 50 g익힌 당근 30 g완숙란 1 number,당근을 깍둑썰기한 다음 그릇에 담아주세요칠면조는 잘게 다진 후 당근이 든 그릇에 옮겨 담으세요그릇에 달걀을 넣고 포크를 이용해 잘 으깨어 주세요밥을 넣고 재료가 골고루 섞이도록 저어주세요적정량(1인분)의 음식을 깨끗한 접시나 그릇에 옮겨 담으세요
강아지,장관련,조리시간 60분 이내,오트밀 바 - 소화가 잘 되는,오늘 만든 간식은 5일 정도 냉장 보관이 가능합니다.,으깬 귀리 1 cup다목적용 밀가루 1/2 cup베이킹 소다 1/4 작은스푼꿀 2 tbsp물 1/4 cup식물성 오일 2 tbsp달걀 1 number,"커다란 그릇에 귀리와 밀가루, 베이킹 파우더를 넣고 골고루 섞어주세요식물성 오일과 꿀을 첨가하세요그릇에 달걀 1개를 깨서 넣고 물을 부어주세요그릇에 담은 재료들을 잘 섞어주세요팬에 반죽을 1cm 두께로 펴 발라주세요예열해둔 오븐에 넣고 화씨 350도에서 30-35분 정도 구워주세요오븐을 끄고 식혀준 뒤 바를 가로세로 4-5cm 네모난 크기로 잘라주세요"
강아지,다이어트,조리시간 20분 이내,돼지고기 스파게티 - 단백질이 풍부한,음식은 3일 정도 냉장보관이 가능합니다.,돼지고기 어깨살 200 g스파게티 1 cup사과 1 number양배추 70 g물 2 cup,"커다란 냄비에 물 2컵을 부은 후 끓이세요면을 넣고 면발이 부드러워질 때까지 10-12분간 삶아주세요사과 씨를 제거하고 1-2cm 정도 크기로 깍둑썰기 해주세요(색이 진하고 껍질에 윤기가 나며 단단하고 크기에 비해 무거운 사과를 고르세요)양배추를 잘게 썰어주세요(양배추는 머리 부분이 단단하고 작으며 크기에 비해 무거운 것을 고르세요)돼지고기를 잘게 썰어주세요(고기는 밝은 분홍색을 띠어야 합니다. 깨끗한 포장용기에 습기가 차 있거나 구멍이 없어야 합니다)삶아둔 면을 건져 물기를 빼주세요삶은 물 1컵은 보관하고 나머지 물은 버려주세요팬에 돼지고기를 넣고 노릇노릇하게 익을 때까지 3-5분 정도 화씨 375도의 센불에서 삶아주세요고기가 골고루 익도록 저어가며, 보관해둔 삶은 물 1컵을 팬에 부어주세요양배추를 넣고 3분 더 볶아준 뒤 불을 꺼주세요이제 사과와 파스타를 마저 넣고 골고루 섞이도록 저어주세요1인분 양을 깨끗한 그릇이나 접시에 옮겨 담으세요음식을 제공하기 전 완전히 식혀주시고, 파슬리와 샐러리 같은 채소나 허브를 추가하셔도 좋습니다"
